k,dif_media
1,0.7307662791269844
2,1.4099211845640836
3,1.2091033519220644
4,1.2435215061697644
5,1.1506649285018993
6,1.085732429625241
7,0.9009061169347671
8,0.8035355479918384
9,1.1733186284797983
10,1.1435982125321666
11,1.181363532342037
12,1.042999430529704
13,1.1697611329834186
14,0.6843874486099957
15,0.8553212873285823
16,1.0997742445088428
17,0.6973208271748397
18,0.9518473792364421
19,0.91166646209451
20,0.7748233451512967
21,0.5169923825114695
22,1.0197269939715112
23,0.960967550482026
24,0.8493050136784837
25,0.5264263852511132
26,1.070746447005881
27,0.6917433909714333
28,0.9267531033434244
29,0.7771522606825686
30,0.8461850846376127
31,1.0311920133945505
32,0.9202494807620554
33,0.8264342822281824
34,0.7123963792745626
35,0.590194381278223
36,0.7917995546597448
37,0.76232015321406
38,0.5492758063256094
39,0.841880225023748
40,0.5343540885808017
41,0.4542471489228966
42,0.4071301939419456
43,0.7403036298979948
44,0.7307888312831196
45,0.4668012551909578
46,0.8181461723897007
47,0.49877443583319503
48,0.8008766623375567
49,0.439847837985741
50,0.602178632717882
